"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"
Dilek,Erkan Oğur,28,"['turkish classical', 'turkish jazz']",0.484,0.123,2,-16.5,0,0.0327,0.98,0.898,0.0934,0.217,78.083
Yetiş Ya Hızır,Coşkun Karademir,23,[],0.654,0.35,9,-15.681,0,0.065,0.852,3.35e-05,0.169,0.433,138.003
Gönül Kanat Açtı,Coşkun Karademir,19,[],0.693,0.471,7,-10.473,0,0.0307,0.526,5.9e-06,0.119,0.567,95.025
Allah Eyvallah,Coşkun Karademir,16,[],0.699,0.475,5,-10.928,0,0.192,0.701,1.75e-05,0.253,0.651,140.01
Çektiğim Cevri Cefalar,Coşkun Karademir,15,[],0.568,0.49,8,-10.474,1,0.0333,0.837,0.000112,0.174,0.579,170.035
Dost Ne İçin Beni Zar İncidirsin,Coşkun Karademir,13,[],0.553,0.422,3,-10.813,0,0.031,0.746,1.48e-05,0.0853,0.563,81.964
Oxford Supernova +++ jC,Anton Eger,13,['progressive jazz fusion'],0.543,0.552,7,-10.679,1,0.0726,0.0133,0.81,0.107,0.267,81.866
HERb +++ gA,Anton Eger,13,['progressive jazz fusion'],0.47,0.698,7,-8.245,1,0.207,0.00831,0.823,0.507,0.376,125.887
Sugaruzd +++ pT,Anton Eger,10,['progressive jazz fusion'],0.608,0.805,1,-7.764,0,0.073,0.00356,0.671,0.581,0.473,94.888
IOEDWLTO +++ hP,Anton Eger,9,['progressive jazz fusion'],0.421,0.352,9,-10.351,0,0.0406,0.805,0.919,0.23,0.344,105.538
Monolith +++ tR,Anton Eger,9,['progressive jazz fusion'],0.565,0.747,5,-8.833,0,0.0361,0.0424,0.769,0.12,0.509,107.398
Petite suite en 15 images: Berceuse aux etoiles (Lullaby under the Stars),Jacques Ibert,37,['early modern classical'],0.409,0.00211,0,-40.486,1,0.0668,0.996,0.941,0.0652,0.547,72.365
Petite suite en 15 images: IV. Berceuse aux etoiles (Lullaby under the Stars),Jacques Ibert,4,['early modern classical'],0.509,0.00319,0,-38.093,1,0.0871,0.996,0.933,0.0736,0.534,130.174
Concertino da camera: I. Allegro con moto,Jacques Ibert,15,['early modern classical'],0.293,0.136,5,-23.672,1,0.0382,0.987,0.898,0.154,0.257,129.281
