zipcodes_rotterdam$city,zipcodes_rotterdam$zip,lon,lat
ROTTERDAM,3071JK,4.5060791,51.9114294
ROTTERDAM,3051EA,4.476441599999999,51.9445516
ROTTERDAM,3034KC,4.498088699999999,51.9333017
ROTTERDAM,3073CS,4.495532799999999,51.892105
ROTTERDAM,3073RE,4.5069939,51.8929105
ROTTERDAM,3068AE,4.5341852,51.9536857
ROTTERDAM,3037 SB,4.476845,51.9389997
ROTTERDAM,3053KN,4.4816478,51.9633423
ROTTERDAM,3063PC,4.5090382,51.9191639
ROTTERDAM,3086GZ,4.4698612,51.8722039
ROTTERDAM,3054AC,4.487137199999999,51.949371
ROTTERDAM,3072VT,4.5034223,51.9009286
ROTTERDAM,3067JT,4.538810499999999,51.9437238
ROTTERDAM,3031 AS,4.486399,51.9252577
ROTTERDAM,3051JS,4.4757311,51.9458765
ROTTERDAM,3065GB,4.5471542,51.927649099999996
ROTTERDAM,3021CV,4.4631732,51.9192707
ROTTERDAM,3011XW,4.488116199999999,51.917181
ROTTERDAM,3054RS,4.4881493,51.9627539
ROTTERDAM,3032PM,4.471045500000001,51.9309997
ROTTERDAM,3073CR,4.4950344,51.8908607
ROTTERDAM,3023HC,4.4512564,51.9135314
ROTTERDAM,3066AS,4.4777326,51.9244201
ROTTERDAM,3061PR,4.5053901,51.9265432
ROTTERDAM,NA,4.4984702,51.9338619
ROTTERDAM,3076RN,4.5151138,51.8772407
ROTTERDAM,3072NM,4.4816918,51.9012845
ROTTERDAM,3054AK,4.488481699999999,51.9505139
ROTTERDAM,3083ZR,4.4733709,51.88458180000001
ROTTERDAM,3013CE,4.4771316,51.9248537
ROTTERDAM,3078BJ,4.5569694,51.8858676
ROTTERDAM,3021TM,4.461551700000001,51.9161298
ROTTERDAM,3078JG,4.5442252,51.8931206
ROTTERDAM,3028JC,4.420751300000001,51.9174284
ROTTERDAM,3027JE,4.4366131,51.9186634
ROTTERDAM,3067CW,4.5487515,51.9456737
ROTTERDAM,3037BP,4.4701381,51.93342850000001
ROTTERDAM,3053LJ,4.4690834,51.9629752
ROTTERDAM,3042RR,4.4301524,51.9292087
ROTTERDAM,3069XJ,4.574457,51.9687302
ROTTERDAM,3053EZ,4.4719558,51.9605437
ROTTERDAM,3085VT,4.4956483,51.8752789
ROTTERDAM,3071JJ,4.5061444,51.9110613
ROTTERDAM,3012 AJ,4.4769608,51.9196479
ROTTERDAM,3061JT,4.5051476,51.9322313
ROTTERDAM,3028GA,4.417482199999999,51.9173565
ROTTERDAM,3024XC,4.4569635,51.9067543
ROTTERDAM,3078CS,4.5572159,51.8890423
ROTTERDAM,3037ND,4.4708561,51.936724
ROTTERDAM,3039KP,4.461796,51.9268553
