id,namenl,subtitlenl,subtitle2nl,startts,locationid,Klassiek,Populair,Operacursus,Muziekcursus,Familieconcert,Pop_jazz_and_beyond,Mezzo-middag,Pop_Classics,Muziektheater,Jazz,Doelenmenu
47083,FLOW Unplugged,i.s.m. productiehuis FLOW,,2020-02-22 20:30:00,10141,0,0,0,0,0,1,0,0,0,0,0
46290,Die Frau ohne Schatten,Rotterdams Philharmonisch Orkest,,2020-02-23 14:15:00,10135,0,0,0,0,0,0,0,0,0,0,0
46852,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-23 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46853,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-24 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46565,The Star Wars Suites,,,2019-11-25 20:15:00,10135,0,1,0,0,0,0,0,0,0,0,0
46854,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-25 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46855,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-26 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46646,Club Doelen - Flow Unplugged,i.s.m. productiehuis FLOW,,2019-12-20 20:30:00,10141,0,1,0,0,0,0,0,0,0,0,0
46856,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-27 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46857,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-28 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
47069,Glass Museum,,,2020-02-28 20:30:00,10141,0,0,0,0,0,0,0,0,0,1,0
46858,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-29 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46859,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-03-01 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
47030,Mystiek Productions & de Doelen presenteren,"Koray Avcı ""European Tour 2020""",,2020-03-01 20:15:00,10135,0,0,0,0,0,0,0,0,0,0,0
